X_1,X_2,X_3,X_4,X_5,X_6,X_7,Actual_Y_1,Actual_Y_2,Actual_Y_3,Actual_Y_4,Actual_Y_5,Actual_Y_6,Actual_Y_7,Actual_Y_8,Actual_Y_9,Actual_Y_10,Predicted_Y_1,Predicted_Y_2,Predicted_Y_3,Predicted_Y_4,Predicted_Y_5,Predicted_Y_6,Predicted_Y_7,Predicted_Y_8,Predicted_Y_9,Predicted_Y_10,Error_Y_1 (%),Error_Y_2 (%),Error_Y_3 (%),Error_Y_4 (%),Error_Y_5 (%),Error_Y_6 (%),Error_Y_7 (%),Error_Y_8 (%),Error_Y_9 (%),Error_Y_10 (%)
71.0,12.409999999999998,1.29,0.64,18.9,46.0,49.0,0.2617430090904236,0.5589969754219055,0.29725396633148193,35.29999923706055,60.5,96.5,0.32806718349456787,47.0,0.9562129974365234,75975.0,0.25797390937805176,0.5611291527748108,0.2712211012840271,35.18549346923828,60.438133239746094,94.88560485839844,0.3058057725429535,46.090301513671875,0.8859961628913879,32034.9609375,1.440000145742088,0.3814291394503526,8.757785596180861,0.324378952682948,0.10225910785769629,1.672948333265868,6.785625649748349,1.9355286943151595,7.343221095443929,57.83486549851925
73.0,12.409999999999998,1.29,0.64,19.0,46.0,49.0,0.2752549946308136,0.6043949723243713,0.32913997769355774,35.29999923706055,59.59999847412109,95.9000015258789,0.37468859553337097,47.0,1.013260006904602,73232.0,0.2580224871635437,0.559465229511261,0.27116599678993225,35.20100784301758,60.668094635009766,94.97298431396484,0.30599579215049744,46.12461853027344,0.8874117136001587,32764.548828125,6.260561226285118,7.433837948770545,17.613776761448754,0.2804288843696072,1.7921076983793163,0.9666498406299859,18.333305097020368,1.862513765375665,12.420138211997141,55.25924619275043
75.0,12.7,1.29,0.64,17.6,38.0,46.0,0.2722429931163788,0.5657550096511841,0.2935120165348053,37.099998474121094,62.90000152587891,96.19999694824219,0.31533342599868774,43.70000076293945,0.966484010219574,73497.0,0.2582785189151764,0.5609681606292725,0.2725638449192047,35.3188362121582,60.77777862548828,95.72530364990234,0.3072225749492645,46.35791015625,0.892442524433136,33100.06640625,5.129415468640856,0.84609927269808,7.137074612110986,4.8009766447977915,3.3739631938124632,0.49344419272200146,2.5721507397242975,6.0821724185520685,7.660911614007626,54.964057844197725
77.0,12.7,1.29,0.64,17.4,37.0,46.0,0.2454,0.509,0.2636,35.0,60.8,97.4,0.305,49.7,0.9179999999999999,56163.0,0.25909316539764404,0.5637373924255371,0.2751603126525879,35.49785232543945,60.97927474975586,96.92735290527344,0.3092690706253052,46.69664001464844,0.8975608348846436,33248.5546875,5.5799369998549455,10.753908138612397,4.38555108216536,1.4224352155412947,0.29485978578266814,0.48526395762481334,1.3996952869853057,6.042977837729508,2.226488574657557,40.79989550504781
74.0,12.4,1.25,0.65,18.4,40.0,61.0,0.27067801356315613,0.5627310276031494,0.2920530140399933,37.400001525878906,61.400001525878906,97.69999694824219,0.3687114119529724,46.4000015258789,0.9475780129432677,65834.0,0.2582067847251892,0.5613624453544617,0.2727099061012268,35.33357620239258,60.5700569152832,95.7068099975586,0.3075065612792969,46.44880294799805,0.8925459384918213,32794.41015625,4.607403709595002,0.2432036233219575,6.623149568358046,5.525201174273928,1.3517012865967075,2.040109532183005,16.599662687273145,0.10517547524633047,5.8076563301117075,50.186210535209774
76.0,12.7,1.29,0.64,17.0,39.0,45.0,0.2555530071258545,0.5515000224113464,0.29594701528549194,35.29999923706055,59.90000152587891,95.5999984741211,0.3373769521713257,42.79999923706055,0.8894619941711427,65522.0,0.25708627700805664,0.5595451593399048,0.27111732959747314,35.22462844848633,60.258785247802734,95.19255065917969,0.30748888850212097,46.30960464477539,0.8918216228485107,32283.990234375,0.5999811543782951,1.4587736358345487,8.389909141021842,0.21351498641135644,0.5989711398735337,0.42620065004677,8.858952420089162,8.200012781018637,0.26528718403161283,50.72801466015232
74.0,12.7,1.29,0.64,17.0,39.0,45.0,0.2524,0.5241,0.2684,35.0,62.0,96.5,0.292,51.5,0.914,55999.0,0.25628355145454407,0.5577989816665649,0.2695505619049072,35.15489959716797,59.94380569458008,94.82008361816406,0.30768170952796936,46.23009490966797,0.8896826505661011,31488.06640625,1.538649546174348,6.429876295852878,0.428674331187481,0.44257027762276785,3.3164424280966482,1.7408459915398318,5.370448468482665,10.232825418120449,2.660541513555685,43.7703058871587
74.0,12.4,1.25,0.65,18.4,40.0,61.0,0.23116399347782135,0.47055900096893316,0.23939500749111176,34.400001525878906,59.90000152587891,95.5999984741211,0.25362297892570496,43.099998474121094,0.7269200086593628,77135.0,0.25601664185523987,0.5559984445571899,0.267395555973053,35.04140090942383,59.64786148071289,93.81288146972656,0.30578815937042236,45.9738655090332,0.8828216195106506,30901.1328125,10.751089736560969,18.157009729349028,11.696379458949588,1.8645330089953664,0.420934956165384,1.8693692812958609,20.568002420631775,6.667905189457699,21.44687297008272,59.9388956861347
74.0,12.409999999999998,1.29,0.64,19.5,45.0,47.99999999999999,0.2560670077800751,0.5327979922294617,0.2756589949131012,35.0,60.20000076293945,97.4000015258789,0.31097763776779175,50.900001525878906,0.8892199993133545,76968.0,0.257120281457901,0.558020830154419,0.2693001925945282,35.18118667602539,59.93989181518555,94.5627212524414,0.3054552674293518,46.23017120361328,0.8818311095237732,31845.212890625,0.4113273658161145,4.734033966497096,2.306763949631881,0.5176762172154018,0.4320746585671731,2.9130187155938008,1.7758094691565949,9.174519022148477,0.8309405766049925,58.62538601675371
73.0,12.409999999999998,1.29,0.64,18.9,45.0,47.99999999999999,0.2534799873828888,0.540677011013031,0.2871970236301422,35.0,62.0,97.0999984741211,0.31137678027153015,47.299999237060554,0.90665602684021,73863.0,0.2579021453857422,0.5592531561851501,0.27125284075737,35.311500549316406,60.2733039855957,95.39140319824219,0.305540531873703,46.55242156982422,0.8825032114982605,33146.32421875,1.7445787529465184,3.43571943946983,5.551653241819608,0.8900015694754465,2.7849935716198337,1.7596244106371204,1.8743364205698831,1.5805024932232816,2.6639447184975453,55.12458982338925
76.0,12.7,1.29,0.64,17.1,38.0,47.0,0.27033600211143494,0.5661290287971497,0.2957930266857147,35.599998474121094,61.099998474121094,95.30000305175781,0.3025550842285156,51.5,0.9450139999389648,73994.0,0.25804266333580017,0.5597711801528931,0.2720712423324585,35.34181213378906,60.437660217285156,95.79412841796875,0.3071008026599884,46.54637145996094,0.8894734978675842,32906.81640625,4.547429376634541,1.1230387987284574,8.019724000613792,0.7252425601077374,1.0840233606821954,0.5184945964194524,1.502443247008687,9.618696194250607,5.877214737026941,55.527723320471935
77.0,12.7,1.29,0.64,17.4,38.0,47.0,0.2654,0.5539,0.2618,36.2,61.400000000000006,97.4,0.289,53.6,0.9320000000000002,59093.99999999999,0.2581295669078827,0.5598844289779663,0.272116094827652,35.33610153198242,60.38179016113281,95.93779754638672,0.30830246210098267,46.50045394897461,0.894636869430542,32088.291015625,2.7394246767586035,1.0804168582715945,3.94044875005806,2.3864598564021575,1.658322213138751,1.5012345519643602,6.679052630097816,13.245421736987673,4.008919588997657,45.69957861098419
76.0,12.4,1.25,0.65,18.4,40.0,61.0,0.2392,0.5093,0.2701,35.0,60.8,97.1,0.276,56.0,0.9629999999999999,56433.0,0.2581433951854706,0.5601610541343689,0.2720274031162262,35.28961181640625,60.38628005981445,95.58971405029297,0.30744409561157227,46.45607376098633,0.8933027386665344,32325.703125,7.919479592588037,9.986462622102675,0.7135887138934429,0.8274623325892858,0.6804604279367501,1.555392327195701,11.392788265062407,17.04272542681013,7.23751415716152,42.71843934400085
71.0,12.4,1.25,0.65,18.4,40.0,61.0,0.2757749855518341,0.6099979877471924,0.3342230021953583,34.400001525878906,58.400001525878906,95.0,0.4179112911224365,45.79999923706055,1.0170999765396118,66536.0,0.25759556889533997,0.5593495965003967,0.27004897594451904,35.161170959472656,60.209075927734375,94.45138549804688,0.3051055669784546,46.13045120239258,0.8869300484657288,32412.943359375,6.592119520962562,8.303042348360398,19.200960385523842,2.212701743693607,3.0977300592257864,0.5774889494243421,26.992743804793,0.7215108533552886,12.798144831027185,51.28510376431555
75.0,12.7,1.29,0.64,17.0,39.0,45.0,0.2718130052089691,0.5806459784507751,0.30883297324180603,35.0,60.20000076293945,98.30000305175781,0.3467777371406555,48.5,0.9350910186767578,66799.0,0.25795778632164,0.5625107288360596,0.2717224955558777,35.279991149902344,60.34964370727539,95.18193817138672,0.3058539032936096,46.215904235839844,0.8879866003990173,32479.23828125,5.097334793336046,3.123288593697375,12.016358647323603,0.7999747140066965,0.2485763163446025,3.171988589592761,11.80117102801409,4.709475802392075,5.037415325023406,51.37765792713963
76.0,12.7,1.29,0.64,17.0,39.0,45.0,0.25972598791122437,0.5278949737548828,0.26278501749038696,35.0,61.099998474121094,96.19999694824219,0.27702242136001587,38.0,0.8725910186767578,78895.0,0.25673699378967285,0.5599607229232788,0.2703639268875122,35.1788330078125,60.027191162109375,94.74901580810547,0.30612581968307495,46.10088348388672,0.8867948651313782,31759.03515625,1.150825970704621,6.074266807337527,2.8840721094011728,0.5109514508928571,1.7558221584344331,1.5082964513162926,10.505791617941481,21.318114431280836,1.6277782088749675,59.74518644242347
72.0,12.409999999999998,1.29,0.64,19.5,45.0,47.99999999999999,0.24164600670337677,0.5181840062141418,0.27653801441192627,35.29999923706055,60.79999923706054,96.19999694824219,0.3067336082458496,50.29999923706055,0.8590329885482788,79093.0,0.25638940930366516,0.557229220867157,0.2697070240974426,35.16322708129883,60.02947235107422,94.6921157836914,0.306464821100235,46.25761413574219,0.8840732574462891,32176.271484375,6.101239909329884,7.535009607548468,2.4701812982240905,0.3874565402769902,1.2673139731170384,1.5674440877186886,0.08762885395955335,8.036551019149856,2.9149368221966667,59.31843338301114
71.0,12.409999999999998,1.29,0.64,19.7,45.0,47.99999999999999,0.2241,0.4590000000000001,0.2349,35.6,61.7,95.6,0.262,49.1,0.822,59637.0,0.2574695646762848,0.5584802031517029,0.2713007926940918,35.33594512939453,60.32969284057617,95.61127471923828,0.3071165978908539,46.64426040649414,0.8830978274345398,33171.5625,14.890479552112806,21.673246874009322,15.496293186075691,0.7417271646221072,2.220919221108316,0.011793639370593028,17.220075530860253,5.001506300419268,7.432825721963485,44.377546657276525
78.0,12.4,1.25,0.65,18.4,40.0,61.0,0.2695,0.5646,0.2747,35.3,62.29999999999999,96.2,0.245,46.7,1.018,59224.99999999999,0.257786363363266,0.5577107071876526,0.2708144783973694,35.25333786010742,60.31010437011719,94.96360778808594,0.30588507652282715,46.361549377441406,0.8849690556526184,32978.25390625,4.346432889326169,1.2202077244681904,1.4144599936769622,0.1321873651347742,3.1940539805502453,1.2852309895156604,24.85105164197027,0.7247336671490291,13.067872725675992,44.31700480160404
74.0,12.4,1.25,0.65,18.4,40.0,61.0,0.2603740096092224,0.5399209856987,0.27954697608947754,35.0,60.79999923706054,95.5999984741211,0.31504401564598083,43.400001525878906,0.886473000049591,75064.0,0.2580946683883667,0.5587541460990906,0.2706952393054962,35.19095993041992,60.4315185546875,94.40879821777344,0.3045128583908081,46.05889892578125,0.8855223059654236,33132.20703125,0.8754104237502893,3.4881326896414375,3.166457712333849,0.5455998011997767,0.6060537615079985,1.246025392636501,3.3427574345696294,6.126491489445858,0.10724456177618334,55.86138890646648
76.0,12.7,1.29,0.64,17.6,38.0,47.0,0.2758679986000061,0.5739160180091858,0.2876570224761963,37.400001525878906,63.20000076293945,98.30000305175781,0.3002662658691406,55.099998474121094,0.965982973575592,74828.0,0.25666019320487976,0.556976854801178,0.26967692375183105,35.068214416503906,60.262569427490234,93.97984313964844,0.3044203221797943,45.93570327758789,0.8871824741363525,33166.62109375,6.962679793453185,2.9515055646585373,6.250533558885424,6.234724637007091,4.647834335425722,4.394872612399295,1.3834575451323161,16.632115154844172,8.157545380697442,55.67618926905704
