X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,Actual_Y_1,Actual_Y_2,Actual_Y_3,Actual_Y_4,Actual_Y_5,Actual_Y_6,Actual_Y_7,Actual_Y_8,Actual_Y_9,Actual_Y_10,Predicted_Y_1,Predicted_Y_2,Predicted_Y_3,Predicted_Y_4,Predicted_Y_5,Predicted_Y_6,Predicted_Y_7,Predicted_Y_8,Predicted_Y_9,Predicted_Y_10,Error_Y_1 (%),Error_Y_2 (%),Error_Y_3 (%),Error_Y_4 (%),Error_Y_5 (%),Error_Y_6 (%),Error_Y_7 (%),Error_Y_8 (%),Error_Y_9 (%),Error_Y_10 (%)
33.18,48.0,51.0,72.0,256.0,12.409999999999998,1.29,0.64,317.0,36.0,19.0,46.0,220.0,21.5,49.0,0.253807008266449,0.5452979803085327,0.29149097204208374,34.70000076293945,60.20000076293945,96.19999694824219,0.34015482664108276,39.200000762939446,0.8848990201950073,75544.0,0.253928848952055,0.5336069560050963,0.2715084764361381,34.70600017547607,59.702000045776366,95.887999420166,0.31222854137420647,44.153000335693356,0.8934162575006487,22429.390000000007,0.048005248727446916,2.143969852377141,6.855270839420942,0.01728937292423617,0.827243705733752,0.32432176504543186,8.20987476280704,12.63520274580348,0.9625095193081344,70.30950174732605
33.8,48.0,50.0,76.0,258.0,12.4,1.25,0.65,322.0,33.0,18.4,40.0,22412.0,24.1,59.0,0.2448,0.5031,0.2583,36.5,62.29999999999999,96.5,0.289,44.0,0.877,53512.00000000001,0.24857665469551085,0.5257673489933015,0.2559157346315385,36.03499980163575,62.419999999999995,96.737,0.27442959875583645,48.69500019836426,0.8655654890394211,58126.53999999999,1.5427511011073782,4.505535478692401,0.92306053753832,1.2739731462034276,0.19261637239166063,0.2455958549222744,5.041661330160393,10.670454996282414,1.3038210901458271,8.623374196441892
33.8,50.0,52.0,74.0,256.0,12.4,1.25,0.65,350.0,33.0,18.4,40.0,22553.000000000004,24.1,59.0,0.2506,0.5305,0.2798,35.6,62.0,96.5,0.261,59.60000000000001,0.9689999999999999,53671.0,0.2490652197189331,0.5202433990707398,0.2557071396598816,36.01099981689454,62.12000000000001,96.86899999999999,0.27414193731307984,52.678000183105475,0.8693127591133116,59361.74999999997,0.6124422510242927,1.9333837755438594,8.610743509692057,1.1544938676812868,0.193548387096793,0.3823834196891042,5.035225024168518,11.614093652507606,10.28764095837856,10.60302584263377
32.48,52.0,53.0,78.0,256.0,12.7,1.29,0.64,306.0,31.0,18.0,37.0,2548.0,18.1,46.0,0.25768300890922546,0.5452380180358887,0.286577969789505,35.900001525878906,60.5,96.5,0.3416893184185028,46.70000076293945,0.871496021747589,72776.0,0.26055516794323924,0.5731271129846572,0.2930485373735427,35.305999755859375,61.17800010681152,96.5539992523193,0.3259082686901093,44.054000053405765,0.890905603170395,28329.159999999985,1.1146093978689757,5.115031238876826,2.257873342040353,1.6546009603685912,1.1206613335727553,0.0559577744241458,4.618537624013401,5.665954317571492,2.2271566293423204,61.07348576453777
34.7,50.0,52.0,76.0,258.0,12.7,1.29,0.64,310.0,30.0,17.8,38.0,2808.0000000000005,18.1,46.0,0.265159010887146,0.6093069911003113,0.26483601331710815,37.099998474121094,62.90000152587891,97.4000015258789,0.27764469385147095,41.900001525878906,0.8412219882011414,72216.0,0.2603113490343094,0.5727203074097633,0.2751079633831978,35.47999965667725,60.011000022888176,94.37599937438961,0.3178639608621597,44.620999870300295,0.8635099428892135,43461.14999999997,1.828209358836306,6.004638749422232,3.8786077231083684,4.366573811516097,4.5930070475469185,3.104724952890098,14.485876338124607,6.494029225132141,2.6494736229770197,39.81783815221007
32.53,49.0,50.0,76.0,257.0,12.7,1.29,0.64,317.0,29.0,17.0,39.0,11758.0,19.899999999999995,45.0,0.2724910080432892,0.595346987247467,0.3228559792041779,35.29999923706055,61.099998474121094,97.0999984741211,0.36226582527160645,50.29999923706055,0.9230939745903015,62666.0,0.27241665109992025,0.6049141305685043,0.3007794606685639,34.46599983215332,58.26499965667724,92.857999420166,0.3590912553668022,44.714000091552734,0.9089260041713715,48180.47000000001,0.027287852139738673,1.606986098186215,6.837884368761385,2.3626045975424,4.639932713982993,4.368691164383146,0.8763095173065619,11.105366262892712,1.5348351098508934,23.11545335588675
32.53,50.0,52.0,77.0,256.0,12.7,1.29,0.64,308.0,30.0,17.0,39.0,11749.0,19.899999999999995,45.0,0.279107004404068,0.6081529855728149,0.3283019959926605,36.20000076293945,59.29999923706055,97.0999984741211,0.36702209711074824,41.599998474121094,0.9825639724731446,63034.99999999999,0.2726461204886437,0.6057156884670256,0.29855749249458324,34.537999877929686,58.16599967956543,92.70199943542478,0.3579013228416443,44.39000007629396,0.9037553650140763,47777.200000000026,2.3148411947665735,0.40077039225478006,9.060104373761481,4.5911625690109865,1.9123095650672515,4.529350265508458,2.485074969846239,6.706734866609416,8.020710067427428,24.205282779408215
32.85,54.0,55.0,75.0,257.0,12.4,1.25,0.65,312.0,33.0,18.4,40.0,20970.0,24.3,60.0,0.2435,0.5252,0.24699999999999997,37.1,62.9,97.4,0.275,40.1,0.8520000000000001,55854.0,0.254156739906311,0.5364787996902467,0.25333637988662716,35.91799993896485,62.36699999999999,97.19599999999997,0.28006064577102663,51.66700006103516,0.8718709197044372,62920.63000000001,4.376484561113346,2.1475246934970866,2.565335986488742,3.185983992008502,0.8473767885532724,0.20944558521564285,1.8402348258278567,28.845386685873216,2.3322675709433223,12.65196762989224
33.8,52.0,54.0,75.0,256.0,12.4,1.25,0.65,321.0,33.0,18.4,40.0,21731.0,24.3,60.0,0.2439,0.5154,0.2649,36.2,62.9,95.0,0.251,53.0,0.8909999999999999,54793.0,0.25126917488288875,0.5281697496128083,0.255018974858284,35.98399992370606,62.28499999999999,96.923,0.27437830721378326,49.376000076293955,0.8703336496305465,63925.03999999999,3.0213919159035427,2.477638652077668,3.730096316238586,0.5966852936296815,0.9777424483306981,2.0242105263157915,9.314066619037153,6.837735705105745,2.319455709254031,16.666435493584935
33.87,52.0,54.0,71.0,260.0,12.409999999999998,1.29,0.64,308.0,35.5,18.9,46.0,905.9999999999999,21.099999999999998,49.0,0.24576500058174133,0.510932981967926,0.2651679813861847,35.599998474121094,59.90000152587891,95.5999984741211,0.303377628326416,47.0,0.8923519849777222,76830.0,0.25476109057664875,0.5393625342845916,0.2720099753141403,35.09300022125244,60.49400012969971,96.09199981689451,0.3083350935578346,45.613999938964845,0.8805335104465487,24158.089999999986,3.6604439092682455,5.564242928136165,2.5802489019181643,1.4241524567401604,0.9916503984798147,0.5146457642534431,1.6340905750916699,2.9489363000747977,1.324418472769858,68.5564362879084
33.87,51.0,52.0,73.0,258.0,12.409999999999998,1.29,0.64,310.0,32.7,19.0,46.0,1089.0,21.099999999999998,49.0,0.2617430090904236,0.5589969754219055,0.29725396633148193,35.29999923706055,60.5,96.5,0.32806718349456787,47.0,0.9562129974365234,75975.0,0.2541776007413864,0.5366074556112289,0.2718233858048917,34.95200012207031,60.25400020599365,96.05900001525875,0.30937707901000977,45.058999938964845,0.8796131783723832,23482.199999999997,2.8903955736306157,4.005302496275228,8.555169453393066,0.9858332082480112,0.40661122976256464,0.45699480284067723,5.697035675885446,4.129787363904584,8.010748574793892,69.09220138203356
32.48,43.0,48.0,75.0,261.0,12.7,1.29,0.64,314.0,35.0,17.6,38.0,2752.0,18.1,46.0,0.2752549946308136,0.6043949723243713,0.32913997769355774,35.29999923706055,59.59999847412109,95.9000015258789,0.37468859553337097,47.0,1.013260006904602,73232.0,0.25909518972039225,0.5615219485759736,0.2772845840454102,35.68999950408936,61.567999992370595,96.76099861145018,0.3172648811340332,46.693999671936034,0.8657226651906966,51571.28999999998,5.87084893122311,7.093544074914693,15.754814717897009,1.1048166443566356,3.3020160547554953,0.897807165664046,15.325717164568303,0.6510645277956728,14.560659722928943,29.57820351758797
32.11,48.0,50.0,77.0,258.0,12.7,1.29,0.64,312.0,37.0,17.4,37.0,2727.0,18.1,46.0,0.2722429931163788,0.5657550096511841,0.2935120165348053,37.099998474121094,62.90000152587891,96.19999694824219,0.31533342599868774,43.70000076293945,0.966484010219574,73497.0,0.2632421088218689,0.58149479418993,0.27722322344779965,35.53099941253662,60.59899982452392,94.60699958801266,0.3213624459505081,45.44599979400634,0.8801938748359681,53564.280000000006,3.3061950250679892,2.782084872469847,5.549617109142817,4.22910815664566,3.658190215477644,1.6559224644119284,1.9119507970732728,3.995421053968521,8.92825276685144,27.120453896077386
32.85,56.0,57.99999999999999,74.0,257.0,12.4,1.25,0.65,305.0,33.0,18.4,40.0,22461.0,24.3,61.0,0.2454,0.509,0.2636,35.0,60.8,97.4,0.305,49.7,0.9179999999999999,56163.0,0.24942847981262203,0.5277265993804933,0.25587575977325444,36.16699987792969,62.345000000000006,96.95599999999996,0.2670512915420532,50.65700012207031,0.8661018394088746,52062.22,1.6415973156568977,3.679096145480011,2.9302884016485433,3.334285365513401,2.541118421052646,0.45585215605754126,12.442199494408783,1.9255535655338125,5.653394399904716,7.30156864839841
34.75,47.0,48.0,76.0,256.0,12.7,1.29,0.64,316.0,36.0,17.0,39.0,9670.0,19.899999999999995,45.0,0.27067801356315613,0.5627310276031494,0.2920530140399933,37.400001525878906,61.400001525878906,97.69999694824219,0.3687114119529724,46.4000015258789,0.9475780129432677,65834.0,0.27975979179143906,0.6702170211076739,0.260525723695755,32.59999975204468,50.122999305725095,77.5639995956421,0.3401311293244362,39.317000007629396,0.9463372325897217,36660.33000000003,3.3551961272110935,19.10077607810992,10.79505734528081,12.834228818180307,18.366452670853395,20.61002864029503,7.751396268738634,15.265088976988645,0.1309422904075244,44.31398669380558
32.04,44.0,47.0,74.0,258.0,12.7,1.29,0.64,313.0,35.0,17.0,39.0,9622.0,19.899999999999995,45.0,0.2555530071258545,0.5515000224113464,0.29594701528549194,35.29999923706055,59.90000152587891,95.5999984741211,0.3373769521713257,42.79999923706055,0.8894619941711427,65522.0,0.2790550717711449,0.6400089097023011,0.28615960806608215,33.70099956512451,55.05799922943114,85.24399967193602,0.344791595339775,41.822000427246095,0.9104036080837249,36475.22000000001,9.196551787675169,16.04875497628514,3.3071484806049325,4.529744211034676,8.083476081976155,10.832634903219624,2.1977325720471943,2.2850439888970877,2.354413572453642,44.33133909221329
32.85,55.0,56.00000000000001,74.0,258.0,12.4,1.25,0.65,257.0,33.0,18.4,40.0,22325.0,24.3,61.0,0.2524,0.5241,0.2684,35.0,62.0,96.5,0.292,51.5,0.914,55999.0,0.24868034976577758,0.5265644992256165,0.25550094971656806,36.05599984741212,62.206999999999994,96.89899999999996,0.27025661442756654,50.696000152587885,0.8677772992610933,51406.659999999996,1.4737124541293336,0.4702345402817276,4.80590547072726,3.017142421177478,0.3338709677419252,0.41347150259063037,7.4463649220662465,1.5611647522565335,5.057188264650632,8.200753584885451
32.82,55.0,56.00000000000001,74.0,256.0,12.409999999999998,1.29,0.64,314.0,29.2,19.5,45.0,1189.0,21.099999999999998,47.99999999999999,0.23116399347782135,0.47055900096893316,0.23939500749111176,34.400001525878906,59.90000152587891,95.5999984741211,0.25362297892570496,43.099998474121094,0.7269200086593628,77135.0,0.2509322303533554,0.5232571375370024,0.26937696903944014,34.68800022125244,59.73499996185303,95.93000099182129,0.3096352544426918,46.63100036621095,0.8729745948314668,41601.08000000002,8.5516072715843,11.199049738621078,12.524054641967231,0.8372054726708995,0.2754617025420262,0.34519092360605613,22.08485830197381,8.192580086075884,20.09225010073229,46.067180916574806
33.87,54.0,55.0,73.0,258.0,12.409999999999998,1.29,0.64,312.0,26.2,18.9,45.0,1056.0,21.099999999999998,47.99999999999999,0.2560670077800751,0.5327979922294617,0.2756589949131012,35.0,60.20000076293945,97.4000015258789,0.31097763776779175,50.900001525878906,0.8892199993133545,76968.0,0.25448612093925477,0.5347948741912841,0.2718233147263528,34.937000045776365,60.16100021362305,96.00200042724606,0.3082354176044464,46.4900001525879,0.8904731070995332,31041.04,0.6173723255196005,0.37479157034106425,1.3914583806552596,0.17999986921038516,0.06478496482082283,1.4353193806279374,0.881806223440729,8.664049589564042,0.14092213255958527,59.670200602847935
